index,text_gt,text_gt_wo_char
7881,The Enterprise faces the massive ship in space.,It faces the massive ship in space.
7882,The away team enters O'Brien's transporter room.,The away team enters his transporter room.
7883,They step onto the transporter pad.,They step onto the transporter pad.
7884,And pull out their phasers.,And pull out their phasers.
7885,"Worf, Riker, and Data dematerialize.",They dematerialize.
7886,"On the alien ship, several stationary Borg stand along a wall as the away team materializes.","On the alien ship, several stationary they stand along a wall as they materialize."
7888,"Riker, Data, and Worf quickly pull out their phasers and look at the Borgs.",They quickly pull out their phasers and look at them.
7890,"Riker peers around, then turns to Data.","He peers around, then turns to him."
7892,They step past the Varys Borg.,They step past him.
7893,The arms of the Borg sit on posts jutting out from the wall.,The arms of them sit on posts jutting out from the wall.
7894,Riker examines the Borg.,He examines them.
7895,Data stops at an empty slot.,He stops at an empty slot.
7896,Riker presses his communicator button.,He presses his communicator button.
7898,Ryker and Worf step forward as Data positions himself in a slot.,He steps forward as he positions himself in a slot.
7900,Ryker looks at him.,He looks at him.
7901,"Data gapes as he stares after the Borg, then raises his eyebrows.","He stares after them, then raises his eyebrows."
7903,Riker frowns curiously.,He frowns curiously.
7904,The Borg steps up to a wall panel.,He steps up to a wall panel.
7905,Then walks back past the officers.,Then walks back past them.
7906,A wide-eyed wharf looks at Riker.,A wide-eyed wharf looks at him.
7907,"Seen from afar, the officers look around curiously.","Seen from afar, they look around curiously."
7908,"The view pulls away from them, revealing the massive interior of the ship.","The view pulls away from them, revealing the massive interior of the ship."
7910,"On the bridge, Picard sits beside Troy.","On the bridge, he sits beside her."
7911,O'Brien stands in the transporter room.,He stands in the transporter room.
7912,"On the Borg ship, steam bellows from above as Worf, Data, and Riker step through it.","On the Borg ship, steam bellows from above as they step through it."
7914,Riker peers at a wall lined with incubators.,He peers at a wall lined with incubators.
7915,"He and Worf peer around, then he presses his communicator button.","He and he peer around, then he presses his communicator button."
7917,"He paces, then faces one of the incubators.","He paces, then faces one of the incubators."
7919,He steps towards it and pushes a button.,He steps towards it and pushes a button.
7921,The incubator slides open and Riker raises his eyebrows.,The incubator slides open and he raises his eyebrows.
7923,He frowns slightly.,He frowns slightly.
7924,"Nearby, Data holds a tricorder, analyzing the steam.","Nearby, he holds a tricorder, analyzing the steam."
7926,He touches an intricate design on the wall.,He touches an intricate design on the wall.
7927,Riker and Worf step over to him.,Riker and Worf step over to him.
7929,"At his controls, O'Brien looks focused.","At his controls, he looks focused."
7930,Now the away team materializes on the bridge.,Now the away team materializes on the bridge.
7931,Picard frowns intensely.,He frowns intensely.
7932,The view screen displays the Borg chasing them.,The view screen displays them chasing them.
7934,A magnified image shows the ship repairing itself.,A magnified image shows it repairing itself.
7936,"In engineering, Geordi leans over the table and presses a button.","In engineering, he leans over the table and presses a button."
7938,A tense Riker watches the view screen.,A tense he watches the view screen.
7939,"As the Enterprise flies, torpedoes shoot out its back.","As it flies, torpedoes shoot out its back."
7940,The Borg continues to pursue them.,They continues to pursue them.
7941,"Picard purses his lips, frowning furiously.","He purses his lips, frowning furiously."
7943,"In space, the Enterprise flies quickly.","In space, it flies quickly."
7944,"On the bridge, Q lounges on the ramp, watching Picard...","On the bridge, he lounges on the ramp, watching him."
7946,The Borg ship fires at the Enterprise.,It fires at it.
7947,"A force field overtakes the ship, then disappears.","A force field overtakes the ship, then disappears."
7950,Another beam flies at the Enterprise.,Another beam flies at it.
7951,The torpedoes shoot out of the Enterprise and blast into the enemy ship.,The torpedoes shoot out of it and blast into the enemy ship.
7953,Q looks at Picard.,He looks at him.
7954,The Borg fires at the Enterprise again.,It fires at it again.
7956,"The ship shakes, and the officers hold onto their seats.","The ship shakes, and they hold onto their seats."
7958,"In space, the Borg continues to fire at the Enterprise.","In space, it continues to fire at it."
7959,"In engineering, the warp core flickers as Geordi watches it.","In engineering, the warp core flickers as he watches it."
7961,Data turns to Picard.,He turns to him.
7962,Picard looks at Riker.,He looks at him.
7964,Q appears in Data's seat.,He appears in his seat.
7965,A confused Data stands on the ramp.,A confused he stands on the ramp.
7967,And snaps his fingers.,And snaps his fingers.
7968,The white light appears next to the Enterprise and knocks it into space.,The white light appears next to it and knocks it into space.
7970,The stars zip past the bridge's viewscreen as the Enterprise spins through space.,The stars zip past the bridge's viewscreen as the ship spins through space.
7972,Picard's eyes shift as Worf peers at his controls.,His eyes shift as he peers at his controls.
7974,The ship slows... and stops.,It slows... and stops.
7976,"The white light flashes brightly, and a confused Riker now sits beside Picard.","The white light flashes brightly, and a confused he now sits beside him."
7979,"Now, Ganon plays 3D chess as Picard sits beside her.","Now, he plays 3D chess as he sits beside her."
7980,Picard reaches for a chess piece.,He reaches for a chess piece.
7981,Ben freezes and looks thoughtful.,He freezes and looks thoughtful.
7983,Picard peers at Geordi and Sonia.,He peers at him and her.
7985,"He stares at them, then continues on his way.","He stares at them, then continues on his way."
7987,"Smiling, Sonia cocks her eyebrows at Geordi and they walk off.","Smiling, he cocks his eyebrows at him and they walk off."
7990,"In a shuttle bay, a large door opens in front of a shuttlecraft.","In a shuttle bay, a large door opens in front of a shuttlecraft."
7992,Worf stands at his controls.,He stands at his controls.
7993,"Data presses several buttons, and a ship appears on the view screen.","He presses several buttons, and a ship appears on the view screen."
7995,Riker stands as a heavyset alien appears on screen.,He stands as a heavyset alien appears on screen.
7996,The alien sports large eyebrows.,He sports large eyebrows.
7998,Riker breathes in deeply.,He breathes in deeply.
7999,He looks at Geordi.,He looks at him.
8000,Who smirks.,Who smirks.
8001,The alien captain smiles appreciatively.,He smiles appreciatively.
8002,Riker turns to Worf.,He turns to him.
8003,Data frowns and types on his controls.,He frowns and types on his controls.
8005,Riker settles in the captain's chair.,He settles in the captain's chair.
8006,Now the shuttlecraft flies in space.,Now it flies in space.
8007,Picard closes the book.,He closes the book.
8010,Now the Enterprise floats next to the Pakled vessel.,Now the Enterprise floats next to the Pakled vessel.
8012,"In a transporter room, Geordi dematerializes on the pad.","In a transporter room, he dematerializes on the pad."
8014,He materializes on the Pakled vessel behind the alien captain.,He materializes on the Pakled vessel behind her.
8015,The captain and three others surround him.,The captain and three others surround him.
8016,They step back.,They step back.
8017,The captain walks up.,He walks up.
8018,A short-haired alien approaches them.,A short-haired alien approaches them.
8019,They turn back to their stations.,They turn back to their stations.
8020,"Later, Troy walks onto the bridge as Riker stands beside Data.","Later, he walks onto the bridge as he stands beside him."
8022,She looks stunned and steps up to the view screen.,She looks stunned and steps up to the view screen.
8024,It displays Geordi on the ship with the alien.,It displays him on the ship with the alien.
8026,She stares at Riker and Data with concern.,She stares at him and him with concern.
8028,Troy marches up to Riker.,He marches up to him.
8029,They watch Geordi with the pack lids on the view screen.,They watch him with the pack lids on the view screen.
8030,"Riker looks at Worf, who sighs.","He looks at him, who sighs."
8032,He squints at the screen.,He squints at the screen.
8033,"Meanwhile, the shuttlecraft flies in space.","Meanwhile, the shuttlecraft flies in space."
8034,Picard looks pensive.,He looks pensive.
8035,Picard peers at him.,He peers at him.
8036,He pulls out several circuits.,He pulls out several circuits.
8037,"On the bridge, Riker stands with Troy.","On the bridge, he stands with her."
8038,The viewscreen displays Geordi and the Paklets.,On the viewscreen is he and the Paklets.
8041,Jordy sits next to an open panel and replaces the circuits.,He replaces the circuits.
8042,Lights flash on his face.,Lights flash on his face.
8043,And he stands.,And he stands.
8044,"Suddenly, the lights dim.","Suddenly, the lights dim."
8045,The alien captain turns to Reginald.,He turns to him.
8046,Geordi glances back at them and pushes his communicator button.,He glances back at them and pushes his communicator button.
8048,"On the bridge, Geordi appears on the view screen.","On the bridge, he appears on the view screen."
8050,The Paklets stand behind him as Riker peers at the uneasy Troy.,The Paklets stand behind him as he peers at the uneasy her.
8053,Picard peers at him curiously.,He peers at him curiously.
8054,He frowns and looks at his book.,He frowns and looks at his book.
8058,Then closes the book and stands.,Then he closes the book and stands.
8060,He steps to the back and sits in another chair.,He steps to the back and sits in another chair.
8062,"Picard glances at him, then looks at his book.","He glances at him, then looks at his book."
8064,The Enterprise floats next to the stranded vessel.,It floats next to the stranded vessel.
8065,"On the bridge's viewscreen, the aliens stand together as Riker, Worf, and Troi watch them closely.","On the bridge's viewscreen, they stand together as he, he, and she watch them closely."
8066,"On the view screen, Geordi stands.","On the view screen, he stands."
8068,The captain points at Geordi.,He points at him.
8069,"Suddenly, the captain grabs Geordi's phaser and shoots him.","Suddenly, the captain grabs his phaser and shoots him."
8071,Geordi flies into the wall and drops to the floor unconscious.,He flies into the wall and drops to the floor unconscious.
8073,Riker frowns intensely.,He frowns intensely.
8074,The feed ends and the viewscreen displays the vessel in space.,The viewscreen displays the vessel in space.
8075,Worf looks at his controls.,He looks at his controls.
8076,"In space, the Enterprise hovers next to the Pakled vessel.","In space, it hovers next to the Pakled vessel."
8077,"On the bridge, Riker paces angrily.","On the bridge, he paces angrily."
8079,The shuttlecraft flies gently through space.,The shuttlecraft flies gently through space.
8080,"On board, Picard pours himself a cup of coffee.","On board, he pours himself a cup of coffee."
8081,They eat.,They eat.
8082,He cocks his head.,He cocks his head.
8083,He chuckles to himself.,He chuckles to himself.
8084,He points at his heart.,He points at his heart.
8085,He smiles nostalgically.,He smiles nostalgically.
8087,Picard frowns reminiscently.,He frowns reminiscently.
8089,He holds out the plate.,He holds out the plate.
8090,He pours himself more coffee.,He pours himself more coffee.
8091,The Enterprise floats next to the vessel.,The Enterprise floats next to the vessel.
8092,"On the bridge, an anxious Breiker paces.","On the bridge, he paces."
8093,"On board the Pakled vessel, Geordi slowly wakes up.","On board the Pakled vessel, he slowly wakes up."
8094,The captain aims the phaser at him.,He aims the phaser at him.
8095,And Geordi stands.,And he stands.
8097,Geordi gapes.,He gapes.
8098,"Reginod looks at the captain, who aims at Geordi.","He looks at him, who aims at her."
8100,Geordi sighs.,He sighs.
8101,"On the bridge, Riker stands next to Worf.","On the bridge, he stands next to him."
8103,Troy peers at them.,He peers at them.
8104,Riker and Worf look serious.,They look serious.
8105,The shuttlecraft soars through space.,It soars through space.
8107,And steps over to him.,And steps over to him.
8108,He pushes buttons on a screen.,He pushes buttons on a screen.
8109,A viewscreen displays a large planet...,A viewscreen displays a large planet...
8110,He stares at Picard.,He stares at him.
8111,"Later, Riker stands with Worf as he looks at Troi.","Later, he stands with him as he looks at her."
8112,"On the planet, a large base sits under a clear, bright sky.","On the planet, a large base sits under a clear, bright sky."
8114,Picard takes a step.,He takes a step.
8115,"Later, the Enterprise floats next to the vessel as on the bridge, Data frowns.","Later, the Enterprise floats next to the vessel as on the bridge, he frowns."
8117,Riker leans forward as the Paklitz and Geordi appear on the screen.,He leans forward as they appear on the screen.
8118,"The captain turns and shoots Geordi, who flies into the wall, then falls to the floor.","The captain turns and shoots him, who flies into the wall, then falls to the floor."
8121,Riker leaps up.,He leaps up.
8123,The captain smiles mischievously.,He smiles mischievously.
8124,"Riker looks at Data, who peers back at him.","He looks at him, who peers back at him."
8126,"Later, in the observation lounge, Riker faces Pulaski, Worf, Data, and Troi.","Later, in the observation lounge, he faces them."
8127,Pulaski peers at Worf as Troi looks uneasy.,He peers at him as she looks uneasy.
8129,"In a futuristic operating room, doctors in red suits put a small chamber containing a manufactured heart onto a cart and roll it over to a table.","In a futuristic operating room, they put a small chamber containing a manufactured heart onto a cart and roll it over to a table."
8131,A man at a panel flips two switches.,A man at a panel flips two switches.
8132,Picard's eyes slowly close.,His eyes slowly close.
8133,The doctor looks at his colleagues.,He looks at his colleagues.
8134,So it would seem.,So it would seem.
8135,Velaski looks uneasy.,He looks uneasy.
8136,"In the operating room, the doctor stands over Picard.","In the operating room, he stands over him."
8138,His colleague aims a beam at Picard.,His colleague aims a beam at him.
8139,The pack load vessel is dwarfed by the Enterprise.,The pack load vessel is dwarfed by it.
8140,"On board, Geordi holds his side painfully as he lumbers through the vessel.","On board, he holds his side painfully as he lumbers through the vessel."
8142,He steps up to the captain and Reginald.,He steps up to him and him.
8144,The aliens exchange looks.,They exchange looks.
8145,"On the bridge, Geordi and the aliens appear on the view screen.","On the bridge, they appear on the view screen."
8146,Riker walks up.,He walks up.
8147,They look at the viewscreen.,They look at the viewscreen.
8148,Geordi glances at the alien captain.,He glances at the alien captain.
8149,The captain grabs his arm.,He grabs his arm.
8150,The doctor looks at a colleague.,He looks at a colleague.
8151,The colleague rushes out.,He rushes out.
8152,The Enterprise floats next to the Pakled vessel.,It floats next to it.
8153,"On the vessel, Geordi walks into a room with the two aliens.","On the vessel, he walks into a room with the two aliens."
8154,He steps up to tubes on the wall.,He steps up to tubes on the wall.
8155,He leans over a panel.,He leans over a panel.
8156,Reginod grins.,He grins.
8157,He points the phaser at Geordi.,He points the phaser at him.
8158,Geordi opens a tool case.,He opens a tool case.
8159,Now a monitor displays Picard's vitals.,Now a monitor displays his vitals.
8160,The doctor faces a man in his thirties.,He faces him.
8161,"Later in engineering, Sonya presses buttons on a computer screen.","Later in engineering, she presses buttons on a computer screen."
8162,She turns to Riker and Data.,She turns to him and him.
8164,He and Data leave quickly.,He and he leave quickly.
8165,"In the Pakled weapons room, Geordi turns on various switches as the Pakleds watch him.","In the Pakled weapons room, he turns on various switches as they watch him."
8167,He pounds Reginod's chest.,He pounds his chest.
8168,The alien captain pushes a button and a light flashes.,He pushes a button and a light flashes.
8171,"On the bridge, Data sits at the helm.","On the bridge, he sits at the helm."
8173,Breaker steps forward.,He steps forward.
8174,Sonia presses several buttons.,She presses several buttons.
8175,He hurries to a wall panel.,He hurries to a wall panel.
8176,Sonia pushes multiple buttons.,She pushes multiple buttons.
8177,"On the bridge, Pulaski watches with raised eyebrows.","On the bridge, he watches with raised eyebrows."
8179,Troy breathes uneasily.,He breathes uneasily.
8180,Data glances at Riker.,He glances at him.
8181,On the Pakled vessel.,On it.
8182,Reginod faces Geordi.,He faces him.
8183,"At his controls, Worf glances down.","At his controls, he glances down."
8184,Riker faces the viewscreen.,He faces the viewscreen.
8185,The Enterprise shoots out a bright purple force field.,It shoots out a bright purple force field.
8186,"The alien captain pulls a lever, and the force field descends on them.","The alien captain pulls a lever, and the force field descends on them."
8189,Geordi hurries over to them.,He hurries over to them.
8191,Geordi readies himself.,He readies himself.
8192,"He dematerializes, then rematerializes on the Enterprise's bridge.","He dematerializes, then rematerializes on the Enterprise's bridge."
8194,Riker peers at him.,He peers at him.
8195,"Slowly, Picard wakes up.","Slowly, he wakes up."
8196,He looks at a person by his feet.,He looks at a person by his feet.
8198,She removes her gloves.,She removes her gloves.
8199,She pulls the small device off his forehead.,She pulls the small device off his forehead.
8200,She grabs a device and types on it.,She grabs a device and types on it.
8202,She turns to a computer and types as he looks frustrated.,She turns to a computer and types as he looks frustrated.
8204,She smirks and turns to him.,She smirks and turns to him.
8206,His eyes grow wide as he sits up.,His eyes grow wide as he sits up.
8208,"Pulaski crosses her fingers, then peers at Worf closely.","She crosses her fingers, then peers at him closely."
8210,He stands and strides out as she sighs.,He stands and strides out as she sighs.
8213,Data enters Picard's ready room.,He enters his ready room.
8214,Picard glances down thoughtfully.,He glances down thoughtfully.
8215,He turns to his computer.,He turns to his computer.
8218,"He peers at Picard, who turns off his computer.","He peers at him, who turns off his computer."
8220,Picard stands and paces around.,He stands and paces around.
8222,Picard frowns pensively.,He frowns pensively.
8223,He walks back to his desk.,He walks back to his desk.
8225,"In sickbay, Pulaski works as Worf enters with a tray of tea.","In sickbay, he works as he enters with a tray of tea."
8227,She steps over to him.,She steps over to him.
8228,She produces a table.,She produces a table.
8229,Worf pours the tea.,He pours the tea.
8231,Then returns with a hypospray and gives herself an injection.,Then returns with a hypospray and gives herself an injection.
8233,She picks up a cup of the tea and downs it with Worf.,She picks up a cup of the tea and downs it with him.
8235,He looks intrigued.,He looks intrigued.
8236,The Enterprise passes a moon and moves towards a planet.,It passes a moon and moves towards a planet.
8240,He presses buttons on his controls.,He presses buttons on his controls.
8241,Picard stands and steps away from the seated Riker and Troi.,He stands and steps away from the seated him and her.
8243,The Enterprise orbits a planet.,It orbits a planet.
8244,Riker walks up behind Data.,He walks up behind him.
8245,Troy leans forward.,He leans forward.
8246,Picard paces to Riker.,He paces to him.
8247,Riker strides away.,He strides away.
8248,"Later, the Enterprise floats in orbit.","Later, it floats in orbit."
8249,Picard walks around the bridge.,He walks around the bridge.
8250,He steps to his chair.,He steps to his chair.
8251,O'Brien approaches his console.,He approaches his console.
8252,He operates the controls as suddenly several peasants materialize with their livestock.,He operates the controls as suddenly several peasants materialize with their livestock.
8254,O'Brien stares at them with surprise and activates a communicator.,He stares at them with surprise and activates a communicator.
8256,"On the bridge, the captain stands disapprovingly.","On the bridge, he stands disapprovingly."
8257,Now the peasants struggle to pull a pig off the transporter pad.,Now they struggle to pull a pig off the transporter pad.
8258,"They collect their things and follow as Riker watches them, then turns to O'Brien.","They collect their things and follow as he watches them, then turns to him."
8261,O'Brien gently kicks the pig away from his console.,He gently kicks the pig away from his console.
8263,Picard and Worf walk toward the transporter room as a door opens.,They walk toward the transporter room as a door opens.
8265,The man swallows harder and removes his hat.,He swallows harder and removes his hat.
8267,Worf rolls his eyes.,He rolls his eyes.
8268,Odell smiles kindly and shakes Picard's hand.,He smiles kindly and shakes his hand.
8270,Picard storms out.,He storms out.
8271,Wrecker leads the refugees onto the transporter pad as Odell rushes out after Picard and Worf.,Wrecker leads them onto the transporter pad as Odell rushes out after him and him.
8273,Picard steps into a turbolift.,He steps into a turbolift.
8274,Worf glares at Odell.,He glares at her.
8275,Odell walks off as Worf enters the turbolift.,He walks off as he enters the turbolift.
8277,"Later, Worf joins Picard, Pulaski, and Riker in a herring room.","Later, he joins him in a herring room."
8278,Riker walks to a door.,He walks to a door.
8279,Now Worf faces a security officer in a hallway as Picard strides around a corner with Riker.,Now he faces a security officer in a hallway as he strides around a corner with him.
8281,Warf types on a wall console.,He types on a wall console.
8282,"As the cargo bay doors open, Odell rushes out from among his people.","As the cargo bay doors open, he rushes out from among his people."
8284,Picard enters and sees several animal pens.,He enters and sees several animal pens.
8286,Straw covers the floor.,Straw covers the floor.
8287,Picard and Riker walk up to an auburn-haired woman.,He walks up to her.
8288,He stands in front of an extinguished fire pit.,He stands in front of an extinguished fire pit.
8289,Picard makes his way through the cargo bay as Odell runs over with a bucket.,He makes his way through the cargo bay as she runs over with a bucket.
8291,Odell gestures for her to be quiet.,He gestures for her to be quiet.
8292,Picard turns towards the door.,He turns towards the door.
8293,"Riker strides back to Brenna, who tidies the hay as Picard leaves with Worf.","He strides back to her, who tidies the hay as he leaves with him."
8296,"She returns to her work, then suddenly stops and peers at him.","She returns to her work, then suddenly stops and peers at him."
8299,She picks up a large pot and places it on a table and faces him deliberately.,She picks up a large pot and places it on a table and faces him deliberately.
8302,She steps forward slightly.,She steps forward slightly.
8303,Then lifts her skirt to reveal her feet and ankles.,Then lifts her skirt to reveal her feet and ankles.
8306,He holds out his arm.,He holds out his arm.
8307,"She takes it, and he leads her away.","She takes it, and he leads her away."
8309,Worf and Picard walk in a hallway.,They walk in a hallway.
8310,Odell rushes up.,He rushes up.
8311,Picard's expression hardens.,His expression hardens.
8312,Odell nods with raised eyebrows.,He nods with raised eyebrows.
8315,Riker shows Brenna into his quarters.,He shows her into his quarters.
8316,She cleans up a table.,She cleans up a table.
8317,She chuckles ironically and paces around his quarters.,She chuckles ironically and paces around his quarters.
8319,She turns to him.,She turns to him.
8320,She looks disappointed.,She looks disappointed.
8321,She steps towards him and removes her skirt.,She steps towards him and removes her skirt.
8323,He looks her up and down.,He looks her up and down.
8324,"He reaches for her hair and releases it from its clip, then kisses her.","He reaches for her hair and releases it from its clip, then kisses her."
8327,They kiss again more passionately.,They kiss again more passionately.
8329,Worf walks over.,He walks over.
8331,Odell leads Worf away.,He leads him away.
8332,They step to a replicator.,They step to a replicator.
8333,Worf gestures.,He gestures.
8334,A glass of whiskey appears.,A glass of whiskey appears.
8335,He takes a sip.,He takes a sip.
8336,Worf turns to the replicator.,He turns to the replicator.
8337,A smoking drink appears.,A smoking drink appears.
8338,Odell picks it up cockily and swigs.,He picks it up cockily and swigs.
8340,He suddenly turns cross-eyed.,He suddenly turns cross-eyed.
8341,Odell nods.,He nods.
8342,He turns away drunkenly and lumbers off.,He turns away drunkenly and lumbers off.
8344,Worf looks stunned and rushes off.,He looks stunned and rushes off.
8346,The Enterprise approaches a planet with rings.,It approaches a planet with rings.
8348,Picard paces toward the view screen as a middle-aged man appears.,He paces toward the view screen as a middle-aged man appears.
8350,Troy stands.,He stands.
8351,Riker leaves with Worf.,He leaves with him.
8352,The Enterprise orbits the large planet.,It orbits the large planet.
8353,"As Riker, Worf, and Pulaski materialize, a dark-haired man walks over to them.","As he, he, and she materialize, a dark-haired man walks over to them."
8355,Riker and Worf look perplexed as they follow Pulaski and Victor.,They look perplexed as they follow them.
8356,Riker and Worf stop.,They stop.
8357,"As they turn, a fourth identical woman walks past them.","As they turn, a fourth identical woman walks past them."
8358,Victor leans into Pulaski.,He leans into him.
8359,Victor hurries off.,He hurries off.
8360,"Pulaski turns to a man with a mustache, standing near a sculpture.","He turns to a man with a mustache, standing near a sculpture."
8362,She furtively activates a handheld scanner.,She furtively activates a handheld scanner.
8363,She turns and follows Victor and the away team into a large office.,She turns and follows him and them into a large office.
8365,Granger stands at his desk with a dark-haired woman.,He stands at his desk with a dark-haired woman.
8367,The Enterprise orbits the ringed planet.,It orbits the ringed planet.
8368,"Granger sits with Picard, Riker, and Pulaski.","He sits with him, him, and her."
8371,Riker looks skeptical.,He looks skeptical.
8373,Granger sits back in his seat looking offended.,He sits back in his seat looking offended.
8376,Then Pulaski.,Then he.
8377,Riker and Pulaski stand.,They stand.
8379,Pulaski follows Picard out.,He follows him out.
8382,"On Mariposa, Riker and Pulaski walk up to Granger's desk.","On Mariposa, they walk up to his desk."
8383,Granger frowns and places his hands on his desk.,He frowns and places his hands on his desk.
8385,"Suddenly, Elizabeth shoots Riker and Pulaski.","Suddenly, she shoots him and her."
8387,Geordi enters through another doorway.,He enters through another doorway.
8389,"In a lab, a technician pushes a large needle into Pulaski's immobilized body.","In a lab, he pushes a large needle into his immobilized body."
8390,The Enterprise orbits the pink planet.,It orbits the pink planet.
8391,"In sickbay, Pulaski sits at her desk facing Riker as Geordi enters.","In sickbay, he sits at his desk facing him as he enters."
8393,Pulaski leaps up and scans his body.,He leaps up and scans his body.
8395,Then Geordi's.,Then his.
8396,"Then, her own.","Then, her own."
8397,Riker storms to the door.,He storms to the door.
8398,"Later, Riker, Pulaski, and Geordi materialize in the cloning lab.","Later, they materialize in the cloning lab."
8399,They look around carefully and find two fogged up tubes.,They look around carefully and find two fogged up tubes.
8401,"Riker wipes the condensation from one, revealing a body inside.","He wipes the condensation from one, revealing a body inside."
8403,He opens the tube.,He opens the tube.
8404,"Then fires his phaser at the body, disintegrating it.","Then he fires his phaser at the body, disintegrating it."
8406,He turns to the other tube and peers in at the developing body.,He turns to the other tube and peers in at the developing body.
8408,"He scowls at Pulaski, who nods to him.","He scowls at him, who nods to him."
8410,He opens the tube and fires his phaser at the body.,He opens the tube and fires his phaser at the body.
8412,Riker and Pulaski exchange tense looks.,They exchange tense looks.
8414,"In his ready room, Picard faces Riker, Pulaski, and Troi.","In his ready room, he faces him, her, and her."
8417,To bring loyalty.,To bring loyalty.
8420,Odell stands.,He stands.
8422,Granger settles reluctantly.,He settles reluctantly.
8423,Picard sits and faces them.,He sits and faces them.
8425,Granger frowns and peers down.,He frowns and peers down.
8427,Odell raises his eyebrows and looks up.,He raises his eyebrows and looks up.
8429,The guard smirks and covers his mouth.,He smirks and covers his mouth.
8432,He spits in his hand and holds it out to Granger.,He spits in his hand and holds it out to her.
8434,"Slowly, Granger shakes it.","Slowly, he shakes it."
8435,Odell hurries off.,He hurries off.
8436,"Later, Picard leads Granger into the cargo bay.",He leads him into the cargo bay.
8437,Rodel rushes past him and up to Brenna.,He rushes past him and up to her.
8439,He pulls her aside.,He pulls her aside.
8440,Granger looks around at the quaint scene in wonder.,He looks around at the quaint scene in wonder.
8442,He walks up to a pregnant woman and reaches for her belly.,He walks up to her and reaches for her belly.
8444,Ben catches himself and pulls back.,He catches himself and pulls back.
8446,Ben stops as he stares at the spinning wheel.,He stops as he stares at the spinning wheel.
8447,Brenna storms over to Picard.,He storms over to him.
8448,She turns and jolts at the sight of the Antidians.,She turns and jolts at the sight of them.
8450,Troy looks down and rolls her eyes.,He looks down and rolls her eyes.
8452,"Her mother walks to her and embraces her, then peers at Picard's uniform.","Her mother walks to her and embraces her, then peers at his uniform."
8456,"A gargantuan, ashen man appears.","A gargantuan, ashen man appears."
8457,Riker steps forward.,He steps forward.
8458,He picks up the bag with effort and carries it away.,He picks up the bag with effort and carries it away.
8460,Picard turns curiously.,He turns curiously.
8461,Riker leads them into an elegant room.,He leads them into an elegant room.
8462,Picard leaves quickly.,He leaves quickly.
8463,Louixana turns pensive.,She turns pensive.
8464,She takes Troy by the shoulders.,She takes him by the shoulders.
8465,They embrace.,They embrace.
8467,He shoots the officers a disapproving glare.,He shoots him a disapproving glare.
8468,Riker steps over to him.,He steps over to him.
8469,Pulaski scans the Antedians in the transporter room.,He scans them in the transporter room.
8470,Picard leaves the bridge.,He leaves the bridge.
8471,Worf frowns as Data turns.,He frowns as he turns.
8473,"Riker peers at the others, who all look confused.","He peers at them, who all look confused."
8475,He sits in the captain's chair.,He sits in the captain's chair.
8477,"In his formal uniform, Picard walks in a hallway past Pulaski.","In his formal uniform, he walks in a hallway past her."
8479,She walks off with a smile.,She walks off with a smile.
8482,"Later, Picard enters Loixana's quarters.","Later, he enters her quarters."
8483,"Holm bows to him respectfully, then steps over.","He bows to him respectfully, then steps over."
8485,Picard hands him an elegant container filled with blue liquid.,He hands him an elegant container filled with blue liquid.
8487,"Holm finishes the drink, smiles pleasantly, and bows respectfully.","He finishes the drink, smiles pleasantly, and bows respectfully."
8490,Picard purses his lips awkwardly.,He purses his lips awkwardly.
8491,Holm shoots him a level stare.,He shoots him a level stare.
8492,Holm stands motionless.,He stands motionless.
8494,"He points at Picard, then points over Picard's shoulder.","He points at him, then points over his shoulder."
8496,"Lovaxana stands in a doorway, dressed in a silky gown looking radiant.","She stands in a doorway, dressed in a silky gown looking radiant."
8499,She poses seductively.,She poses seductively.
8500,Picard's expression hardens as he smirks slightly.,His expression hardens as he smirks slightly.
8502,They toast and drink together.,They toast and drink together.
8504,Then put down their glasses.,Then he puts down their glasses.
8505,She takes his hand.,She takes his hand.
8506,"He frowns slightly, then looks down uncomfortably.","He frowns slightly, then looks down uncomfortably."
8508,She leans back in her chair and stares at him.,She leans back in her chair and stares at him.
8510,She takes a bite of food.,She takes a bite of food.
8511,She raises her eyebrows.,She raises her eyebrows.
8512,He purses her lips.,He purses her lips.
8513,"Later, Data sits at the table facing aboard Lowe-Oxana.","Later, he sits at the table facing aboard Lowe-Oxana."
8515,Picard applauds.,He applauds.
8516,LaWixana smiles.,She smiles.
8517,"Picard fidgets, then leaves with Data.","He fidgets, then leaves with him."
8519,Troy glares at her mother.,He glares at her.
8520,Troy looks annoyed.,He looks annoyed.
8521,"In the hallway, Picard walks with Data.","In the hallway, he walks with him."
8522,Then suddenly stops and breathes a relieved sigh.,Then suddenly he stops and breathes a relieved sigh.
8524,Troy faces Lwixana.,He faces her.
8525,Loixana walks off as Troy rolls her eyes.,He watches her as she rolls her eyes.
8527,"In Picard's ready room, Picard looks scandalized as he faces Troy and Riker.","In his ready room, he looks scandalized as he faces her and him."
8528,Riker stares at Troy as Picard looks stunned.,He stares at her as he looks stunned.
8531,Picard paces around his desk.,He paces around his desk.
8532,He sits next to the others.,He sits next to them.
8533,The door is open to a vintage private investigator's office.,The door is open to a vintage private investigator's office.
8536,"In the holodeck, Picard walks to the door of an office.","In the holodeck, he walks to the door of an office."
